3225,Down to You (2000),Comedy|Romance
3239,Isn't She Great? (2000),Comedy
3276,Gun Shy (2000),Comedy
3286,Snow Day (2000),Comedy
3299,Hanging Up (2000),Comedy|Drama
3301,Whole Nine Yards, The (2000),Comedy|Crime
3317,Wonder Boys (2000),Comedy|Drama
3321,Waiting Game, The (2000),Comedy
3322,3 Strikes (2000),Comedy
3323,Chain of Fools (2000),Comedy|Crime
3324,Drowning Mona (2000),Comedy
3325,Next Best Thing, The (2000),Comedy|Drama
3326,What Planet Are You From? (2000),Comedy|Sci-Fi
3353,Closer You Get, The (2000),Comedy|Romance
3454,Whatever It Takes (2000),Comedy|Romance
3481,High Fidelity (2000),Comedy
3511,Ready to Rumble (2000),Comedy
3515,Me Myself I (2000),Comedy
3534,28 Days (2000),Comedy
3535,American Psycho (2000),Comedy|Horror|Thriller
3536,Keeping the Faith (2000),Comedy|Romance
3537,Where the Money Is (2000),Comedy|Drama
3562,Committed (2000),Comedy|Drama
3564,Flintstones in Viva Rock Vegas, The (2000),Children's|Comedy
3565,Where the Heart Is (2000),Comedy|Drama
3566,Big Kahuna, The (2000),Comedy|Drama
3595,Held Up (2000),Comedy
3596,Screwed (2000),Comedy
3597,Whipped (2000),Comedy
3616,Loser (2000),Comedy|Romance
3617,Road Trip (2000),Comedy
3618,Small Time Crooks (2000),Comedy
3646,Big Momma's House (2000),Comedy
3719,Love's Labour's Lost (2000),Comedy|Romance
3743,Boys and Girls (2000),Comedy|Romance
3751,Chicken Run (2000),Animation|Children's|Comedy
3752,Me, Myself and Irene (2000),Comedy
3754,Adventures of Rocky and Bullwinkle, The (2000),Animation|Children's|Comedy
3784,Kid, The (2000),Comedy
3785,Scary Movie (2000),Comedy|Horror
3794,Chuck & Buck (2000),Comedy|Drama
3821,Nutty Professor II: The Klumps (2000),Comedy
3829,Mad About Mambo (2000),Comedy|Romance
3830,Psycho Beach Party (2000),Comedy|Horror|Thriller
3831,Saving Grace (2000),Comedy
3851,I'm the One That I Want (2000),Comedy
3852,Tao of Steve, The (2000),Comedy
3858,Cecil B. Demented (2000),Comedy
3861,Replacements, The (2000),Comedy
3862,About Adam (2000),Comedy
3865,Original Kings of Comedy, The (2000),Comedy|Documentary
3866,Sunset Strip (2000),Comedy
3882,Bring It On (2000),Comedy
3883,Catfish in Black Bean Sauce (2000),Comedy|Drama
3884,Crew, The (2000),Comedy
3885,Love & Sex (2000),Comedy|Romance
3893,Nurse Betty (2000),Comedy|Thriller
3897,Almost Famous (2000),Comedy|Drama
3898,Bait (2000),Action|Comedy
3899,Circus (2000),Comedy
3900,Crime and Punishment in Suburbia (2000),Comedy|Drama
3901,Duets (2000),Comedy|Drama
3905,Specials, The (2000),Comedy
3909,Woman on Top (2000),Comedy|Romance
3911,Best in Show (2000),Comedy
3912,Beautiful (2000),Comedy|Drama
3943,Bamboozled (2000),Comedy
3944,Bootmen (2000),Comedy|Drama
3948,Meet the Parents (2000),Comedy
